message;severity;node;stamp;location
"Added keyframe 66 with 10 cone observations";"20";"cone_slam";"1753022833.808493240";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022833.808464398";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 66";"20";"cone_slam";"1753022833.807398187";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 65 with 11 cone observations";"20";"cone_slam";"1753022833.608901766";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022833.608854261";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 65";"20";"cone_slam";"1753022833.607355691";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 9 cones";"20";"cone_slam";"1753022833.407121519";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 64 with 11 cone observations";"20";"cone_slam";"1753022833.360725408";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022833.360693059";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 64";"20";"cone_slam";"1753022833.359786125";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing 61 landmarks";"20";"cone_slam";"1753022833.256346899";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:462"
"Publishing transforms (call #1500)";"20";"dummy_publisher";"1753022833.100347195";"/home/user1/ROS2_Workspace/ros2_ws/install/cone_stellation/lib/cone_stellation/dummy_publisher_node.py:publish_transforms:556"
"Added keyframe 63 with 11 cone observations";"20";"cone_slam";"1753022833.060415590";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022833.060391747";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 63";"20";"cone_slam";"1753022833.059410449";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Current pose: x=96.77, y=5.98, theta=-0.07";"20";"cone_slam";"1753022833.058660088";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:534"
"Publishing 402 factors";"20";"cone_slam";"1753022833.058363313";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:474"
"Added keyframe 62 with 9 cone observations";"20";"cone_slam";"1753022832.760132967";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022832.760102021";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 62";"20";"cone_slam";"1753022832.759237404";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing 62 keyframes";"20";"cone_slam";"1753022832.558837195";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:554"
"Added keyframe 61 with 9 cone observations";"20";"cone_slam";"1753022832.460114874";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022832.460091081";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 61";"20";"cone_slam";"1753022832.459105666";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 11 cones";"20";"cone_slam";"1753022832.406767191";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 60 with 8 cone observations";"20";"cone_slam";"1753022832.159759824";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022832.159735150";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 60";"20";"cone_slam";"1753022832.158883125";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing transforms (call #1400)";"20";"dummy_publisher";"1753022832.081248926";"/home/user1/ROS2_Workspace/ros2_ws/install/cone_stellation/lib/cone_stellation/dummy_publisher_node.py:publish_transforms:556"
"Added keyframe 59 with 10 cone observations";"20";"cone_slam";"1753022831.860658612";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022831.860633597";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 59";"20";"cone_slam";"1753022831.859214891";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 58 with 9 cone observations";"20";"cone_slam";"1753022831.608641786";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022831.608604469";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 58";"20";"cone_slam";"1753022831.607384852";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 57 with 11 cone observations";"20";"cone_slam";"1753022831.361361594";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022831.361334205";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 57";"20";"cone_slam";"1753022831.359988510";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 11 cones";"20";"cone_slam";"1753022831.359558035";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 56 with 10 cone observations";"20";"cone_slam";"1753022831.160403073";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
